"Amtlicher
Regional-
schlüssel (ARS)","Amtlicher
Gemeinde-schlüssel (AGS)"
31595402006,3159006
31595402014,3159014
31595402022,3159022
31595402025,3159025
31595402027,3159027
31595402028,3159028
31595402030,3159030
31595402037,3159037
31595402038,3159038
31595403,
31595403012,3159012
31595403018,3159018
31595403020,3159020
31595403039,3159039
31595404,
31595404011,3159011
31595404023,3159023
31595404032,3159032
31595404033,3159033
31595404035,3159035
3241,
32410001001,3241001
32410002002,3241002
32410003003,3241003
32410004004,3241004
32410005005,3241005
32410006006,3241006
32410007007,3241007
32410008008,3241008
32410009009,3241009
32410010010,3241010
32410011011,3241011
32410012012,3241012
32410013013,3241013
32410014014,3241014
32410015015,3241015
32410016016,3241016
32410017017,3241017
32410018018,3241018
32410019019,3241019
32410020020,3241020
32410021021,3241021
3251,
32510007007,3251007
32510012012,3251012
32510037037,3251037
32510040040,3251040
32510041041,3251041
32510042042,3251042
32510044044,3251044
32510047047,3251047
32515401,
32515401009,3251009
32515401020,3251020
32515401022,3251022
32515401023,3251023
32515401025,3251025
32515401029,3251029
32515401036,3251036
32515402,
32515402005,3251005
32515402013,3251013
32515402014,3251014
32515402017,3251017
32515403,
32515403002,3251002
32515403026,3251026
32515403033,3251033
32515403049,3251049
32515404,
32515404003,3251003
32515404004,3251004
32515404018,3251018
32515404021,3251021
32515404043,3251043
32515404045,3251045
32515405,
32515405006,3251006
32515405011,3251011
32515405019,3251019
32515405030,3251030
32515405046,3251046
32515406,
32515406001,3251001
32515406015,3251015
32515406028,3251028
32515406031,3251031
32515406032,3251032
32515406038,3251038
32515407,
32515407008,3251008
32515407024,3251024
32515407027,3251027
32515407034,3251034
32515407035,3251035
3252,
32520001001,3252001
32520002002,3252002
32520003003,3252003
32520004004,3252004
32520005005,3252005
32520006006,3252006
32520007007,3252007
32520008008,3252008
3254,
32540002002,3254002
32540003003,3254003
32540005005,3254005
32540008008,3254008
32540011011,3254011
32540014014,3254014
32540017017,3254017
32540020020,3254020
32540021021,3254021
32540022022,3254022
32540026026,3254026
32540028028,3254028
32540029029,3254029
32540032032,3254032
32540042042,3254042
32540044044,3254044
32540045045,3254045
32545406,
32545406013,3254013
32545406041,3254041
32545406043,3254043
3255,
32550008008,3255008
32550023023,3255023
32555401,
32555401002,3255002
32555401015,3255015
32555401021,3255021
32555401030,3255030
32555403,
32555403004,3255004
32555403009,3255009
32555403014,3255014
32555403026,3255026
32555408,
32555408003,3255003
32555408005,3255005
32555408016,3255016
32555408017,3255017
32555408019,3255019
32555408020,3255020
32555408025,3255025
32555408031,3255031
32555408032,3255032
32555408033,3255033
32555408035,3255035
32555409,
32555409001,3255001
32555409007,3255007
32555409010,3255010
32555409012,3255012
32555409013,3255013
32555409018,3255018
32555409022,3255022
32555409027,3255027
32555409028,3255028
32555409034,3255034
32555409036,3255036
3256,
32560022022,3256022
32560025025,3256025
32560030030,3256030
32565402,
32565402005,3256005
32565402011,3256011
32565402012,3256012
32565402027,3256027
32565407,
32565407020,3256020
32565407026,3256026
32565407029,3256029
32565407031,3256031
32565408,
32565408004,3256004
32565408024,3256024
32565408033,3256033
32565408034,3256034
32565409,
32565409003,3256003
32565409007,3256007
32565409008,3256008
32565409009,3256009
32565409010,3256010
32565409013,3256013
32565409014,3256014
32565409015,3256015
32565409028,3256028
32565409035,3256035
